Freq,amp_in,amp_out,fase_out,scale_out,scale_in
100.0,0.7151296139,0.7203043699,-0.7171314359,1.0,1.0
143.8449888287663,0.7167569995,0.7205799818,0.5187320113,1.0,1.0
206.913808111479,0.7192565203,0.7173398733,-2.2360248566,1.0,1.0
297.63514416313194,0.7172413468,0.7206149697,-1.7122473717,1.0,1.0
428.13323987193957,0.7163903117,0.7194622755,-3.0927834511,1.0,1.0
615.8482110660267,0.7144614458,0.7166314125,-5.3201971054,1.0,1.0
885.8667904100823,0.7155457139,0.7109245658,-6.3716812134,1.0,1.0
1274.2749857031336,0.709045887,0.7047811747,-11.9083967209,1.0,1.0
1832.9807108324355,0.7061488032,0.6863418818,-15.1648340225,1.0,1.0
2636.650898730358,0.6935836077,0.6521658301,-22.6771640778,0.5,1.0
3792.69019073225,0.6841973662,0.5989626646,-28.9090900421,0.5,1.0
5455.594781168515,0.6584170461,0.5199149847,-36.7826080322,0.5,1.0
7847.5997035146065,0.6323033571,0.4247375727,-46.2695922852,0.5,0.5
11288.378916846883,0.6136009097,0.3250367641,-55.7288131714,0.5,0.5
16237.76739188721,0.5984429717,0.2365531027,-65.2427215576,0.2,0.5
23357.21469090121,0.5901021361,0.1696891338,-69.813079834,0.2,0.5
33598.18286283781,0.5867222548,0.1202801615,-74.0322647095,0.1,0.5
48329.30238571752,0.5838243365,0.0837128833,-80.4624252319,0.1,0.5
69519.27961775605,0.5847962499,0.0583702028,-85.0696487427,0.05,0.5
100000.0,0.5818689466,0.0402951017,-83.2245254517,0.05,0.5
